id,taxon,genus,species,infraspecific,source,price_eur,acquired_date,status,location,notes
74,Aerangis somalensis,Aerangis,somalensis,,Celandroni Orchidee,30,Jun 2022,alive,,
79,Aerangis mystacidii,Aerangis,mystacidii,,Celandroni Orchidee,20,Dec 2021,lost,,
402,Aldrovanda vesiculosa,Aldrovanda,vesiculosa,,Un Angolo di Deserto,,Mar 2026,alive,,
72,Angraecum viguieri,Angraecum,viguieri,,Celandroni Orchidee,25,Jun 2022,lost,,
338,Angraecum didieri,Angraecum,didieri,,From growlist (May 2020),See notes,,alive,,Vendor/date unknown
290,Azolla filiculoides,Azolla,filiculoides,,Water Plants Italy,3,Mar 2020,lost,,Porzione piante a radice nuda (bare root); ×2 ordered (€6 total)
291,Azolla filiculoides,Azolla,filiculoides,,Water Plants Italy,3,Mar 2020,lost,,Second unit; porzione piante a radice nuda (bare root)
299,Azolla filiculoides,Azolla,filiculoides,,Eta Beta Vivaio,4,Feb 2025,alive,,
73,Bulbophyllum moniliforme,Bulbophyllum,moniliforme,,Celandroni Orchidee,27.27,Jun 2022,lost,,
385,Bulbophyllum makoyanum,Bulbophyllum,makoyanum,,,,,alive,,Gift; name unverified
280,Byblis gigantea,Byblis,gigantea,,eBay (killerblume),6.99,Feb 2020,lost,,Rarität
281,Byblis liniflora 'Kingston Rest',Byblis,liniflora,'Kingston Rest',eBay (killerblume),6.99,Feb 2020,lost,,Rarität
30,Calopogon tuberosus,Calopogon,tuberosus,,Gartenbau Carow,38.8,May 2019,alive,,
241,Catopsis berteroniana,Catopsis,berteroniana,,Araflora,See notes,,lost,,From growlist
116,Cattleya aclandiae ('Black Hole' x Black Rock) x select,Cattleya,aclandiae (,'Black Hole' x Black Rock) x select,Großräschener Orchideen,25,Nov 2023,alive,,
264,Cattleya walkeriana f. semialba 'Tokyo No.1' AM/AOS,Cattleya,walkeriana,f. semialba 'Tokyo No.1' AM/AOS,Claessen Orchids & Plants,79.95,Nov 2023,alive,,10cm; weather insurance €3.95
275,Cattleya walkeriana coerulea 'Blu Monarch' x 'ABC',Cattleya,walkeriana coerulea,'Blu Monarch' x 'ABC',Lo Scrigno di Nebbia,70,Dec 2023,alive,,Ordered by Federica Zoppoli
28,Cephalotus follicularis,Cephalotus,follicularis,,Giardino Carnivoro,22,Jan 2017,alive,,
130,Cephalotus f. 'Eden Black',Cephalotus,f.,'Eden Black',Nature et Paysages,70,Jan 2017,lost,,Bouturage (cutting); 4cm diameter
135,Cephalotus f. 'Eden Black',Cephalotus,f.,'Eden Black',Taudan & Plants,69,Mar 2019,lost,,"Tobias Sicking, Gescher; vendor now defunct; €13.99 DHL shipping"
349,Cephalotus f. 'Hummer's Giant',Cephalotus,f.,'Hummer's Giant',David Maccioni,,,alive,,
111,Ceratochilus biglandulosus,Ceratochilus,biglandulosus,,Großräschener Orchideen,17,Apr 2024,alive,,
